What country do you live in currently?,What industry do you work in?,Other,"In the following list, what best describes the work you do?",Other,What level are you in your role?,How long have you worked remotely?,What percentage of the time do you work remotely?,Which of the following statements best describes you:,"Would you like to work remotely, at least some of the time, for the rest of your career?",Do you encourage others to work remotely? (This can be anyone in your life from coworkers to friends and family.),What’s your biggest struggle with working remotely?,Other,What’s the biggest benefit you see to working remotely?,Other,How much vacation did you take in the past year?,How much vacation time does your company offer each year?,What location do you primarily work from?,Other,What is the second most common location that you work from?,Other,"How often do you travel outside of your home city and work at the same time? (This includes work retreats, conferences, and any time you’re working in a different city.) ",Which description best suits you?,Did you always intend to support remote work?,What is your company's stance on remote work?,How many full-time employees does your company have?,What percentage of your company works remotely?,Does your company pay for your home internet?,Does your company cover the cost of a coworking membership?,Does your company cover the cost of drinks/food at coffee shops?,Are there any other costs of working remotely that your company covers?,"If you work from coffee shops, how much do you spend at coffee shops per week? (in USD)","If you work from coworking spaces, how much do you spend for yourself on coworking spaces per month? (in USD)",How much do you earn per year in USD? (We are not gathering your name or email address so this information will not be able to be used to identify you.),What has surprised you most about working remotely?,Anything else you want to add that we didn’t ask about?
United Kingdom,Education,,Leadership,,Management level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Staying motivated,,The flexibility to work from any location,,More than 6 weeks,Unlimited,Home,,,Airbnb. I work for myself and am location-independent,Frequently (Between one and six months per year),Business owner,1,I am a solo business or freelancer and work remotely,Just me,100%,Yes,Yes,Yes,,Between $1 and $5,Between $1 and $100,"$75,001 to $100,000",How easy it is,
United States,IT and Services,,Engineering,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,Ability to spend time with family,,4 weeks,5 weeks,Home,,Not applicable,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,"More than 1,001",1 to 25%,Yes,No,No,No,Between $1 and $5,Between $1 and $100,"$75,001 to $100,000",Increased productivity,
United Kingdom,Software,,Design,,Professional level,1 year to 4 years,1 to 25%,I would like to work remotely more often.,1,1,Distractions at home,,Ability to spend time with family,,4 weeks,4 weeks,Home,,Home,,Sometimes (Between one week and one month per year),Employee,,At my company we can work remotely a certain number of days per week/month,"More than 1,001",26 to 50%,No,No,No,No,,,"$75,001 to $100,000",,
United States,Education,,Engineering,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to have a flexible schedule,,2 weeks,6 weeks,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Business owner,1,Part of the team is full-time remote and part of the team works out of the same office.,Fewer than 10,51 to 75%,No,No,No,They cover none,Between $20 and $30,,"up to $25,000",I get so much more done than when in an office,
Brazil,IT and Services,,Customer Support,,Professional level,Less than six months,26 to 50%,I would like to work remotely more often.,1,1,Distractions at home,,The flexibility to work from any location,,None,Unlimited,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Business owner,1,I am a solo business or freelancer and work remotely,Just me,100%,Partially,Partially,Partially,,Between $11 and $20,,"up to $25,000",The difficulties today focus when you have other family members at home.,
United States,IT and Services,,Product,,Professional level,1 year to 4 years,100%,I would like to work remotely less often.,1,1,Being in a different timezone than teammates,,Ability to have a flexible schedule,,2 weeks,Unlimited,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,"501 to 1,000",100%,No,No,No,No,Between $20 and $30,,"$125,001 to $150,000",,
United States,,Radio,Design,,Entry level,1 year to 4 years,76 to 99%,I would like to work remotely less often.,1,1,Staying motivated,,The flexibility to work from any location,,2 weeks,None,Home,,Coffee shops and cafes,,Infrequently (Less than a week per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,Fewer than 10,1 to 25%,No,No,No,,Between $5 and $10,,"up to $25,000",How hard it is to be motivated! Also how little connection I have with other team members.,
India,Software,,Product,,Senior level,More than 4 years,76 to 99%,I would like to work remotely more often.,1,1,Being in a different timezone than teammates,,Ability to spend time with family,,1 week,3 weeks,Home,,Not applicable,,Infrequently (Less than a week per year),Employee,,At my company we can work remotely a certain number of days per week/month,"More than 1,001",26 to 50%,No,No,No,No,Between $5 and $10,Between $1 and $100,"$25,001 to $50,000",The calmness that comes with it,What is important is whether the company has a culture and mindset of working remotely. Mine doesn't at least not fully
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,Software,,Leadership,,Executive level,6 months to 11 months,100%,I am happy with the amount of time I work remotely.,1,1,Finding reliable wifi,,The flexibility to work from any location,,None,2 weeks,Home,,Coffee shops and cafes,,Almost all the time,Business owner,1,Everyone at my company works remotely,11 to 50,100%,No,No,No,"Home rent, plane tickets",More than $30,Between $101 and $200,"$100,000 to $125,000",People keep working til late night,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Software,,Engineering,,Professional level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,Ability to have a flexible schedule,,3 weeks,Unlimited,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,51 to 100,100%,Yes,Yes,Yes,Home office reimbursement,Between $20 and $30,,"$150,001 to $200,000",How well it works when the whole company is remote.,
United States,Education,,Leadership,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to work from home,,2 weeks,Unlimited,Home,,Coffee shops and cafes,,Frequently (Between one and six months per year),Business owner,1,Everyone at my company works remotely,Fewer than 10,100%,No,No,No,No,Between $1 and $5,,"$75,001 to $100,000",That not every company is as open to the practice of remote work.,
United Arab Emirates,IT and Services,,Design,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to have a flexible schedule,,2 weeks,4 weeks,Home,,,Client offices,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,51 to 100,76 to 99%,No,Yes,No,"Hardware (Laptop/Screen/etc), Software, Travel costs if for work.",,,"$100,000 to $125,000",The freedom and happiness it has brought. How much I detest the idea of going to an office every day.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,E-commerce,,Product,,Executive level,More than 4 years,76 to 99%,I would like to work remotely less often.,1,1,,Being productive,The flexibility to work from any location,,None,2 weeks,Coworking spaces,,Coffee shops and cafes,,Almost all the time,Business owner,1,Everyone at my company works remotely,Fewer than 10,100%,No,Partially,No,No,More than $30,More than $500,"$100,000 to $125,000",So many travel bloggers,Working remote after year 3 or 4 is not that sexy
Germany,Marketing,,Marketing and Advertising,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,The flexibility to work from any location,,Less than 1 week,Less than 1 week,Home,,Coffee shops and cafes,,Frequently (Between one and six months per year),Freelancer / Self-employed,,,,,,,,,Between $1 and $5,Between $1 and $100,"up to $25,000",How relaxed I am,
United States,Software,,Engineering,,Executive level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,Ability to have a flexible schedule,,1 week,Unlimited,Coworking spaces,,Home,,Sometimes (Between one week and one month per year),Business owner,1,Everyone at my company works remotely,Fewer than 10,100%,No,Yes,Partially,Office equipment,,,"$100,000 to $125,000",How easy it is to connect virtually and at the same time how difficult it is to communicate with the loss of nonverbal cues.,
France,Software,,Marketing and Advertising,,Executive level,Less than six months,1 to 25%,I would like to work remotely more often.,1,1,Loneliness,,,Focus,3 weeks,5 weeks,,Office,Home,,Infrequently (Less than a week per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,51 to 100,1 to 25%,No,Yes,No,Travels back to office and accommodation once every three weeks,,,"$50,001 to $75,000",Time saved by not commuting and focus,
France,E-commerce,,Operations,,Management level,6 months to 11 months,1 to 25%,I would like to work remotely more often.,1,1,Finding reliable wifi,,Ability to have a flexible schedule,,More than 6 weeks,More than 6 weeks,Home,,Not applicable,,Sometimes (Between one week and one month per year),Business owner,1,At my company we can work remotely a certain number of days per week/month,"More than 1,001",51 to 75%,No,No,No,,Between $5 and $10,,"$75,001 to $100,000",,
United States,Software,,Leadership,,Entry level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Ability to have a flexible schedule,,6 weeks,Unlimited,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,Fewer than 10,100%,No,Yes,No,,,,"$100,000 to $125,000",Less stress from a daily commute,
Spain,Travel and Tourism,,Sales,,Executive level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to have a flexible schedule,,3 weeks,Unlimited,Home,,Libraries,,Sometimes (Between one week and one month per year),Business owner,1,I am a solo business or freelancer and work remotely,Just me,100%,Partially,No,Yes,"Some travel costs, dinners or lunch with clients, conferences",Between $11 and $20,,"$100,000 to $125,000","The ability to do things remotely that people thought I would never be able to do, like closing an important B2B sales agreement.",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Media and Publishing,,Leadership,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Unplugging after work,,Ability to spend time with family,,3 weeks,6 weeks,Home,,Coworking spaces,,Always,Business owner,1,Everyone at my company works remotely,11 to 50,100%,No,Yes,No,Travel,More than $30,Between $201 and $300,"Over $200,000",Alignment of team members is super hard.,
United States,Software,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Ability to spend time with family,,2 weeks,Unlimited,Home,,Not applicable,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,1 to 25%,No,Partially,No,Gym membership,Between $11 and $20,,"$125,001 to $150,000",People always think it's a challenge at first then realize it's fine.,
United Kingdom,Media and Publishing,,Engineering,,Professional level,1 year to 4 years,1 to 25%,I would like to work remotely more often.,1,1,Collaborating and/or communication,,Ability to work from home,,4 weeks,4 weeks,Home,,Not applicable,,Never,Employee,,At my company we can work from home as needed,"More than 1,001",1 to 25%,No,No,No,,,,"$50,001 to $75,000",,
United Kingdom,IT and Services,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Ability to spend time with family,,4 weeks,Unlimited,Home,,Coffee shops and cafes,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,51 to 100,100%,No,Yes,No,Home office set up (1000 usd),Between $20 and $30,Between $101 and $200,"$125,001 to $150,000",How much I get to see my wife and kids,
Spain,Software,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,5 weeks,5 weeks,Home,,,Client office,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,Between $1 and $5,,"$50,001 to $75,000",The high level of productivity,
Spain,Financial Services,,Engineering,,Senior level,1 year to 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Collaborating and/or communication,,Ability to work from home,,4 weeks,More than 6 weeks,Home,,Coworking spaces,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,1 to 25%,No,No,No,,,,"$75,001 to $100,000",,
Belgium,,Consultancy,,consultancy,Executive level,More than 4 years,26 to 50%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,Ability to have a flexible schedule,,6 weeks,Unlimited,Home,,Coffee shops and cafes,,Frequently (Between one and six months per year),Business owner,1,Everyone at my company works remotely,Fewer than 10,100%,No,No,No,no,,,"$50,001 to $75,000",,
