Do you work remotely sometimes?,What country do you live in currently?,What industry do you work in?,Other,"In the following list, what best describes the work you do?",Other,What level are you in your role?,How long have you worked remotely?,What percentage of the time do you work remotely?,Which of the following statements best describes you:,"Would you like to work remotely, at least some of the time, for the rest of your career?",Would you recommend remote work to others?,What’s your biggest struggle with working remotely?,Other,What’s the biggest benefit you see to working remotely?,Other,How much vacation did you take in the past year?,How much vacation time does your company offer each year?,What location do you primarily work from?,Other,What is the second most common location that you work from?,Other,"How often do you travel outside of your home city and work at the same time? (This includes work retreats, conferences, and any time you’re working in a different city.) ",Which description best suits you?,Did you always intend to support remote work?,What is your company's stance on remote work?,How many full-time employees does your company have?,What percentage of your company works remotely?,Does your company pay for your home internet?,24. Does your company pay for your cell phone?,Does your company cover the cost of a coworking membership?,Does your company cover the cost of drinks/food at coffee shops?,Are there any other costs of working remotely that your company covers?,"If you work from coffee shops, how much do you spend at coffee shops per week? (in USD)","If you work from coworking spaces, how much do you spend for yourself on coworking spaces per month? (in USD)",How much do you earn per year in USD?,What has surprised you most about working remotely?,Anything else you want to add that we didn’t ask about?
1,United States,Software,,Design,,Senior level,Less than six months,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Not having to commute,,2 weeks,3 weeks,Home,,Coworking spaces,,Infrequently (Less than a week per year),Employee,,Everyone at my company works remotely,51 to 100,100%,No,No,Yes,No,"Hole office budget - meaning you can spend a one time stipend on hardware or things (desk, chair, plants, art, whatever) for your home office. ",Not applicable,Between $201 and $300,"$150,001 to $200,000",How not lonely it feels.,No
1,United States,Software,,Engineering,,Senior level,6 months to 11 months,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Not having to commute,,3 weeks,Unlimited,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,51 to 100,1 to 25%,No,No,No,No,No,Between $11 and $20,Not applicable,"$100,000 to $125,000",How easy it is,
1,United States,Financial Services,,Finances,,Professional level,1 year to 4 years,26 to 50%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,Ability to have a flexible schedule,,Less than 1 week,4 weeks,Company's office,,Home,,Almost all the time,Employee,,At my company we can work remotely a certain number of days per week/month,"More than 1,001",1 to 25%,No,Yes,No,No,No,Between $11 and $20,Not applicable,"$50,001 to $75,000",No,No
1,United States,Software,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Flexibility to work from any location,,5 weeks,Unlimited,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,101 to 500,100%,No,No,Yes,No,,Not applicable,Not applicable,"$125,001 to $150,000","How well it can work company-wide when everyone is intentional about asynchronous communication such as email, slack, etc",
1,United States,IT and Services,,Leadership,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Flexibility to work from any location,,Less than 1 week,Unlimited,Home,,Company's office,,Sometimes (Between one week and one month per year),Employee,,At my company we can work from home as needed,11 to 50,26 to 50%,No,Partially,No,No,No,Not applicable,Not applicable,"$75,001 to $100,000",Lack of exercise :),Nothing that I can think of.
1,United States,Software,,Engineering,,Senior level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,Ability to have a flexible schedule,,2 weeks,Unlimited,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,51 to 100,100%,No,No,Yes,No,Equipment stipend,Between $1 and $5,Not applicable,"$150,001 to $200,000",Get more done faster,
1,United States,IT and Services,,Operations,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Not being able to unplug,,Ability to work from home,,None,None,Home,,Home,,Infrequently (Less than a week per year),Business owner,1,Everyone at my company works remotely,Fewer than 10,100%,No,No,No,No,None,Not applicable,Not applicable,"up to $25,000",Nothing,Nothing
1,United States,Software,,Engineering,,Management level,Less than six months,100%,I am happy with the amount of time I work remotely.,1,1,,Immediate validation,Ability to have a flexible schedule,,4 weeks,Unlimited,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,101 to 500,100%,No,No,Yes,No,Home office setup,More than $30,Between $1 and $100,"$150,001 to $200,000",How well communicating asynchronously can work,Everyone needs to be invested in making remote working work for it to be successful.
1,United States,Software,,Leadership,,Executive level,1 year to 4 years,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Difficulties with collaboration and communication,,Ability to have a flexible schedule,,2 weeks,3 weeks,Coworking spaces,,Home,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,26 to 50%,Partially,Partially,Yes,No,"Accommodation in some cases, insurance",Between $20 and $30,More than $500,"$75,001 to $100,000",,
1,United States,Software,,Human Resources,,Management level,1 year to 4 years,100%,I would like to work remotely more often.,1,1,Being in a different timezone than teammates,,Ability to have a flexible schedule,,3 weeks,Unlimited,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Employee,,Everyone at my company works remotely,101 to 500,100%,No,No,Partially,No,home office furniture,Between $5 and $10,Not applicable,"$100,000 to $125,000",,
1,United States,Software,,Product,,Professional level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Flexibility to work from any location,,4 weeks,Unlimited,Home,,Coffee shops,,Frequently (Between one and six months per year),Employee,,Everyone at my company works remotely,11 to 50,100%,Yes,No,No,No,Gym,Between $5 and $10,Not applicable,"$100,000 to $125,000",My growth in being autonomous and learning to create my own routine,No
1,United States,Software,,Engineering,,Entry level,6 months to 11 months,76 to 99%,I would like to work remotely more often.,1,1,Taking vacation time,,Not having to commute,,2 weeks,Unlimited,Home,,Libraries,,Infrequently (Less than a week per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,1 to 25%,No,No,No,No,,Between $5 and $10,Not applicable,"$25,001 to $50,000",,
1,United States,Software,,Engineering,,Senior level,1 year to 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Taking vacation time,,Ability to have a flexible schedule,,1 week,Unlimited,Home,,Home,,Sometimes (Between one week and one month per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",1 to 25%,No,No,No,No,No,Not applicable,Not applicable,"Over $200,000",Productivity is higher working from home,"It's a deliberate effort, you have to make remote work"
1,United States,Software,,Sales,,Senior level,More than 4 years,100%,I would like to work remotely less often.,1,1,Difficulties with collaboration and communication,,Ability to work from home,,3 weeks,Unlimited,Home,,Not applicable,,Very frequently (More than six months of the year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,"More than 1,001",1 to 25%,Yes,Partially,No,No,,Not applicable,Not applicable,"$150,001 to $200,000",I’m way more productive working remotely.,
1,United States,E-commerce,,Leadership,,Executive level,Less than six months,76 to 99%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Not having to commute,,Less than 1 week,Less than 1 week,Home,,Home,,Frequently (Between one and six months per year),Business owner,1,I am a solo business or freelancer and work remotely,Just me,100%,Partially,Partially,Partially,Yes,My company,Between $5 and $10,Not applicable,"up to $25,000",Eaay and fun,Nothing that is applicable
1,United States,Marketing,,Marketing and Advertising,,Executive level,More than 4 years,51 to 75%,I would like to work remotely more often.,1,1,Difficulties with collaboration and communication,,Not having to commute,,4 weeks,None,Coffee shops,,Home,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Between $11 and $20,Not applicable,"$75,001 to $100,000","The bias that remote work and professionals are somehow less educated, experienced, or qualified. Often they are equal or even more advanced and choose remote work for work style preferences and in addition to other reasons. Just how we share different learning types we may also thrive in different working environments. ",Let’s chat :)
1,United States,Software,,Engineering,,Senior level,Less than six months,100%,I would like to work remotely less often.,1,0,Loneliness,,Ability to have a flexible schedule,,1 week,Unlimited,Company's office,,Home,,Never,Employee,,At my company we can work remotely a certain number of days per week/month,"501 to 1,000",1 to 25%,No,No,No,Yes,Travel to head quarters,Not applicable,Not applicable,"$125,001 to $150,000",It's hard to keep up on everything that goes on at head quarters. I know I miss out on stuff. I am surprised how much I miss the creative energy of collaborating face to face.,We have a remote company office. Everyone's schedule in the office is random and very flexible.
1,United States,Consumer products,,Customer Support,,Professional level,1 year to 4 years,51 to 75%,I would like to work remotely less often.,1,1,Staying motivated,,Ability to have a flexible schedule,,3 weeks,Unlimited,Home,,Company's office,,Frequently (Between one and six months per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,101 to 500,1 to 25%,No,No,No,No,,Not applicable,Not applicable,"$100,000 to $125,000",I'm such a pos sometimes,Nope
1,United States,Media and Publishing,,Design,,Entry level,1 year to 4 years,100%,I would like to work remotely less often.,1,1,Not being able to unplug,,Ability to have a flexible schedule,,More than 6 weeks,Unlimited,Home,,Coffee shops,,Sometimes (Between one week and one month per year),Freelancer / Self-employed,,,,,,,,,,Between $1 and $5,Not applicable,"up to $25,000",How lonely it can be,n/a
1,United States,Software,,Engineering,,Senior level,1 year to 4 years,51 to 75%,I am happy with the amount of time I work remotely.,1,1,Distractions at home,,Ability to have a flexible schedule,,4 weeks,Unlimited,Home,,Company's office,,Infrequently (Less than a week per year),Employee,,At my company we can work from home as needed,101 to 500,26 to 50%,No,No,No,No,No,Not applicable,Not applicable,"Over $200,000",N/A,No
1,United States,Consumer products,,Operations,,Executive level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Loneliness,,Ability to have a flexible schedule,,2 weeks,Unlimited,Home,,Home,,Sometimes (Between one week and one month per year),Business owner,1,I am a solo business or freelancer and work remotely,Just me,100%,Yes,Yes,No,No,No,Not applicable,Not applicable,"up to $25,000",Growth in remote work.,No
1,United States,Software,,Customer Support,,Entry level,More than 4 years,100%,I am happy with the amount of time I work remotely.,1,1,Being in a different timezone than teammates,,Not having to commute,,2 weeks,3 weeks,Home,,Not applicable,,Infrequently (Less than a week per year),Employee,,Part of the team is full-time remote and part of the team works out of the same office.,11 to 50,26 to 50%,No,No,Partially,No,"Office chair, privacy screen, a computer every 3 years",Not applicable,Not applicable,"$25,001 to $50,000",How much I like it.,No :)
